Scores,Scores Info
-900.0,200
-1150.0,200
3255.0,3700
-13915.0,200
-490.0,900
-60.0,1100
-11865.0,400
55.0,300
1665.0,2800
965.0,2000
-480.0,500
2100.0,1800
440.0,900
-1000.0,200
-160.0,300
-800.0,600
-940.0,200
-4160.0,400
-10250.0,800
-25460.0,200
0.0,1100
-465.0,600
-1030.0,200
-770.0,400
-2965.0,200
-425.0,700
2450.0,2900
-220.0,400
1115.0,1000
-425.0,700
-995.0,200
-2445.0,400
-5515.0,300
-28465.0,200
-18010.0,800
-340.0,800
1480.0,2500
-4910.0,200
335.0,800
1675.0,2000
835.0,1200
-93775.0,0
-7965.0,1000
-370.0,600
-230.0,900
195.0,600
-5630.0,1100
125.0,800
-960.0,200
-70840.0,300
1600.0,1000
-3765.0,300
185.0,700
-150.0,900
-465.0,600
-920.0,300
-620.0,400
-950.0,300
-780.0,400
2355.0,3200
-925.0,200
-760.0,400
395.0,800
-33265.0,1000
-170.0,400
-535.0,700
-38645.0,400
-4945.0,700
-840.0,300
-930.0,100
415.0,900
-83520.0,1800
595.0,1100
-205.0,800
-1135.0,300
-435.0,600
-4435.0,400
460.0,1800
665.0,1600
1135.0,1400
-4870.0,500
-37895.0,600
-495.0,500
-505.0,500
-190.0,1000
-430.0,600
-755.0,600
-13495.0,400
-8695.0,0
-16080.0,800
-690.0,400
-2245.0,700
-5475.0,600
-100.0,900
-220.0,800
-135.0,900
-950.0,300
-375.0,1000
-250.0,500
-3950.0,500
420.0,900
555.0,1600
-16305.0,800
-640.0,400
-110.0,600
25.0,1400
-1355.0,300
-505.0,500
-18880.0,500
-4540.0,300
-72265.0,0
-82900.0,0
-76775.0,0
-70215.0,100
-410.0,700
-220.0,800
-735.0,400
-14415.0,500
-665.0,300
-32755.0,1000
-975.0,100
-975.0,200
2295.0,2200
2040.0,2500
-24110.0,500
-39375.0,500
-76360.0,0
-75020.0,0
-86120.0,300
-10325.0,2200
-340.0,600
-845.0,500
-80.0,200
-75090.0,0
-79715.0,0
-77685.0,0
-84130.0,0
-39310.0,200
-46675.0,900
-44980.0,200
-93555.0,0
-74690.0,0
-78530.0,0
-88905.0,0
-93770.0,0
-56455.0,500
-79890.0,0
-82650.0,0
-81600.0,0
-82890.0,0
-22645.0,600
205.0,600
-36595.0,900
-2435.0,600
-5720.0,1100
-24740.0,500
-76440.0,0
-73710.0,0
-4680.0,700
-30470.0,800
-12445.0,400
-195.0,900
-7680.0,500
775.0,1700
-905.0,300
-485.0,500
175.0,600
2780.0,3800
-4005.0,900
-385.0,700
-695.0,600
-50635.0,300
595.0,1600
-345.0,600
-20320.0,3800
2940.0,5000
70.0,400
-780.0,1500
-59815.0,700
935.0,2100
3015.0,2800
20.0,500
-4480.0,300
-20.0,700
-34215.0,1500
-305.0,700
1780.0,3100
-285.0,900
1545.0,1400
880.0,2000
-440.0,600
-780.0,500
1250.0,1600
-18495.0,1600
-73335.0,2400
2600.0,2600
255.0,700
1595.0,1300
-27995.0,500
250.0,500
170.0,500
-825.0,400
155.0,900
-53725.0,200
-5900.0,800
-75.0,400
-560.0,500
-3780.0,700
-1455.0,200
540.0,800
-27740.0,200
-65550.0,100
-725.0,400
-5100.0,100
-10.0,300
-645.0,600
-820.0,300
-295.0,800
-855.0,300
-645.0,500
-38575.0,800
-640.0,500
-12370.0,500
-7495.0,1900
-80460.0,0
-75995.0,0
-765.0,500
1665.0,2700
55.0,400
-660.0,400
-34270.0,500
-49425.0,200
-55795.0,200
-75100.0,0
-77930.0,0
-41320.0,200
-74680.0,0
-39725.0,200
-68690.0,0
-49875.0,200
-60875.0,200
-76370.0,0
-77030.0,0
-79525.0,0
-75740.0,0
-73685.0,0
-80430.0,0
-75800.0,0
-75895.0,0
-82595.0,0
-76915.0,0
-78330.0,0
-56760.0,200
-77705.0,0
-63895.0,200
-27710.0,200
-42100.0,200
-89680.0,200
-76185.0,0
-73555.0,0
-66580.0,200
-26905.0,200
-72820.0,0
-77900.0,300
-44145.0,300
-59525.0,300
-75930.0,0
-79235.0,0
-72550.0,0
-78980.0,0
-77650.0,200
-81495.0,0
-67865.0,200
-78360.0,0
-75740.0,0
-37590.0,200
-49875.0,300
-77930.0,0
-73535.0,0
-57790.0,200
-78510.0,0
-3495.0,200
-25695.0,400
-73735.0,0
-575.0,600
-37285.0,200
-53285.0,200
-39675.0,1000
-55810.0,0
-76175.0,0
-76480.0,0
-77695.0,0
-2845.0,2300
-700.0,900
-7340.0,1200
-4130.0,200
-850.0,200
-41735.0,700
-12185.0,900
-630.0,600
-595.0,600
-3575.0,1900
-3750.0,800
-8205.0,700
1415.0,1400
-1010.0,400
-4725.0,600
-1730.0,500
815.0,700
-19850.0,700
-26235.0,800
-1530.0,400
-37075.0,300
545.0,1700
-550.0,500
880.0,1100
-7200.0,0
75.0,400
-40450.0,1700
2250.0,2600
-40070.0,400
-625.0,500
300.0,1000
670.0,1100
-77430.0,100
120.0,800
-76720.0,200
-675.0,500
-75040.0,0
-72290.0,0
-41120.0,100
-74870.0,0
-1970.0,600
-27010.0,300
-65945.0,500
-74785.0,0
-77420.0,0
-75915.0,0
-73075.0,0
-75695.0,0
-56860.0,800
-78335.0,0
-43925.0,200
-43650.0,200
-76610.0,0
-35705.0,200
-34350.0,200
-78730.0,0
-75335.0,0
-56750.0,0
-33755.0,200
-87265.0,0
-47225.0,500
-80345.0,0
-76035.0,0
-24135.0,200
-20380.0,1000
-2805.0,1100
-20890.0,500
-125.0,700
-17140.0,1000
-81855.0,0
-4895.0,400
-69415.0,700
-12400.0,3200
-7090.0,400
-5470.0,500
-190.0,200
1215.0,2700
255.0,1700
-1110.0,300
1310.0,900
-1015.0,200
-460.0,400
625.0,1200
-465.0,600
-10825.0,300
-3455.0,200
-14095.0,600
495.0,1900
-20670.0,800
345.0,300
1485.0,2600
-510.0,700
-22005.0,900
-630.0,700
-14720.0,1200
635.0,600
180.0,700
-445.0,300
2180.0,2900
-36950.0,1900
950.0,1300
-83240.0,900
195.0,600
-425.0,300
780.0,1000
-390.0,700
1000.0,2000
5.0,400
-1690.0,1600
-25.0,1000
-4510.0,1000
-87725.0,0
-9775.0,300
360.0,1100
1100.0,1800
